Go getting
compiling: gonum_025 (LLGo)

compiling: gonum_026 (LLGo)

compiling: gonum_027 (LLGo)

compiling: gonum_028 (LLGo)

compiling: gonum_029 (LLGo)

compiling: gonum_030 (LLGo)

compiling: gonum_031 (LLGo)

compiling: gonum_032 (LLGo)

compiling: gonum_033 (LLGo)

compiling: gonum_034 (LLGo)

compiling: gonum_035 (LLGo)

compiling: gonum_036 (LLGo)

compiling: gonum_037 (LLGo)

compiling: gonum_038 (LLGo)

compiling: gonum_039 (LLGo)

compiling: gonum_040 (LLGo)

compiling: gonum_041 (LLGo)

compiling: gonum_042 (LLGo)

compiling: gonum_043 (LLGo)

compiling: gonum_044 (LLGo)

compiling: gonum_045 (LLGo)

compiling: gonum_046 (LLGo)

compiling: gonum_047 (LLGo)

compiling: gonum_048 (LLGo)

compiling: gonum_049 (LLGo)

compiling: gonum_050 (LLGo)

compiling: client_go_001 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x20a686e45b08, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x20a686e45b08)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x20a6c7a25470?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x20a6798e9268?, 0x20a686e45b08)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x20a6c7a25470)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x20a6798e9220, 0x20a6ac611b30)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x20a6798e9220)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x20a67d278a08)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x20a6374c6070, 0x1, 0x1}, 0x20a6373e6b48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x20a63734ebb0?, {0x20a6374c6040?, 0x1?, 0x7f8607ad4108?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x20a6374c6040?, 0x20a637304700?, 0x20a637304700?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x20a637304700?, {0x20a6374c6040?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x20a6374c0008, {0x20a6374c6040, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x20a6374be008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x20a6374be008}, {0x20a637353db8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x20a6374be008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_001/LLGo

compiling: client_go_002 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x16f3eba74d88, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x16f3eba74d88)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x16f3d891f7a0?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x16f38312a908?, 0x16f3eba74d88)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x16f3d891f7a0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x16f38312a8c0, 0x16f3e0f81590)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x16f38312a8c0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x16f385970f08)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x16f352bc8030, 0x1, 0x1}, 0x16f352b62b48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x16f352b30b70?, {0x16f352bc8000?, 0x1?, 0x7f398fb072f8?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x16f352bc8000?, 0x16f352b9e600?, 0x16f352b9e600?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x16f352b9e600?, {0x16f352bc8000?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x16f352bc2008, {0x16f352bc8000, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x16f352bc0008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x16f352bc0008}, {0x16f352a35db8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x16f352bc0008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_002/LLGo

compiling: client_go_003 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x242a567c1688, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x242a567c1688)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x242a5681eb70?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x242a201c0188?, 0x242a567c1688)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x242a5681eb70)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x242a201c0140, 0x242a55c634a0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x242a201c0140)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x242a21416f08)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x2429fe450030, 0x1, 0x1}, 0x2429fe3eab48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x2429fe3b6b70?, {0x2429fe450000?, 0x1?, 0x7f110c907bf0?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x2429fe450000?, 0x2429fe426600?, 0x2429fe426600?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x2429fe426600?, {0x2429fe450000?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x2429fe44a008, {0x2429fe450000, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x2429fe448008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x2429fe448008}, {0x2429fe2bbdb8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x2429fe448008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_003/LLGo

compiling: client_go_004 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x109604f1a008, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x109604f1a008)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x109630442090?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x10960277a0e8?, 0x109604f1a008)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x109630442090)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x10960277a0a0, 0x10960fc65ea0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x10960277a0a0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x10960310a008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x1095dd070070, 0x1, 0x1}, 0x1095dd010b48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x1095dcef8bb0?, {0x1095dd070040?, 0x1?, 0x7fc766f06108?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x1095dd070040?, 0x1095dceae700?, 0x1095dceae700?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x1095dceae700?, {0x1095dd070040?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x1095dd06a008, {0x1095dd070040, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x1095dd068008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x1095dd068008}, {0x1095dcefddb8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x1095dd068008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_004/LLGo

compiling: client_go_005 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x289aca6e4b48, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x289aca6e4b48)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x289ace574ab0?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x289ac6288228?, 0x289aca6e4b48)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x289ace574ab0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x289ac62881e0, 0x289ada3e46e0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x289ac62881e0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x289ac7584008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x289a99e50030, 0x1, 0x1}, 0x289a99deab48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x289a99db6b70?, {0x289a99e50000?, 0x1?, 0x7f55606aebf0?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x289a99e50000?, 0x289a99e26600?, 0x289a99e26600?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x289a99e26600?, {0x289a99e50000?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
